filename,pillar #,method,width (nm),height (nm),volume (nm^3),error height (nm),error volume (nm^3)
A3_50g1T_001,1.0,cone,67.44800000000001,290.592902147212,346092.17604671634,3.815508172997798,13843.85098598761
A3_50g1T_001,1.0,cylinder,67.44800000000001,290.592902147212,1038276.5281401491,3.815508172997798,41531.552957962835
A3_50g1T_001,1.0,pillar,67.44800000000001,290.592902147212,789385.2149745343,3.815508172997798,83062.36816848247
A3_50g1T_001,2.0,cone,64.75008000000001,360.62106096347634,395822.36749138724,3.815508172997798,16492.72546960467
A3_50g1T_001,2.0,cylinder,64.75008000000001,360.62106096347634,1187467.102474162,3.815508172997798,49478.17640881402
A3_50g1T_001,2.0,pillar,64.75008000000001,360.62106096347634,1006286.1980556832,3.815508172997798,98955.78210959071
A3_50g1T_001,3.0,cone,67.44800000000001,450.8442454131195,536949.3363403658,3.815508172997798,21478.079124614545
A3_50g1T_001,3.0,cylinder,67.44800000000001,450.8442454131195,1610848.0090210976,3.815508172997798,64434.23737384363
A3_50g1T_001,3.0,pillar,67.44800000000001,450.8442454131195,1312115.7117102267,3.815508172997798,128867.99922848011
A3_50g1T_001,4.0,cone,67.44800000000001,553.8629660840601,659643.2251005691,3.815508172997798,26385.81502024821
A3_50g1T_001,4.0,cylinder,67.44800000000001,553.8629660840601,1978929.6753017073,3.815508172997798,79157.44506074465
A3_50g1T_001,4.0,pillar,67.44800000000001,553.8629660840601,1638514.1741827037,3.815508172997798,158314.5030486325
A3_50g1T_001,5.0,cone,67.44800000000001,679.7747357929874,809602.4224741508,3.815508172997798,32384.16698281198
A3_50g1T_001,5.0,cylinder,67.44800000000001,679.7747357929874,2428807.2674224526,3.815508172997798,97152.50094843593
A3_50g1T_001,5.0,pillar,67.44800000000001,679.7747357929874,2012550.5838644756,3.815508172997798,194304.68651965042
A3_50g1T_001,6.0,cone,67.44800000000001,805.6865055019147,959561.6198477325,3.815508172997798,38382.52392515004
A3_50g1T_001,6.0,cylinder,67.44800000000001,805.6865055019147,2878684.8595431973,3.815508172997798,115147.57177545014
A3_50g1T_001,6.0,pillar,67.44800000000001,805.6865055019147,2431280.2874252973,3.815508172997798,230294.8774603682
A3_50g1T_001,7.0,cone,64.75008000000001,921.5007623941525,1011451.2237345829,3.815508172997798,42143.85062058879
A3_50g1T_001,7.0,cylinder,64.75008000000001,921.5007623941525,3034353.6712037493,3.815508172997798,126431.55186176635
A3_50g1T_001,7.0,pillar,64.75008000000001,921.5007623941525,2519838.009801551,3.815508172997798,252862.88038115037
A3_50g1T_001,8.0,cone,70.14592,1056.161033217465,1360515.8262724604,3.815508172997798,52327.57869197701
A3_50g1T_001,8.0,cylinder,70.14592,1056.161033217465,4081547.4788173814,3.815508172997798,156982.73607593105
A3_50g1T_001,8.0,pillar,70.14592,1056.161033217465,3130297.36353165,3.815508172997798,313965.2610466843
A3_50g1T_001,9.0,cone,72.84384000000001,1226.509889300062,1703826.405142396,3.815508172997798,63104.72362232771
A3_50g1T_001,9.0,cylinder,72.84384000000001,1226.509889300062,5111479.215427188,3.815508172997798,189314.1708669831
A3_50g1T_001,9.0,pillar,72.84384000000001,1226.509889300062,4036552.5973465694,3.815508172997798,378628.1529572398
A3_50h1T_001,1.0,cone,148.3856,330.2482227110442,1903674.2257472815,3.815508172997798,34612.57601830257
A3_50h1T_001,1.0,cylinder,148.3856,330.2482227110442,5711022.677241844,3.815508172997798,103837.72805490771
A3_50h1T_001,1.0,pillar,148.3856,330.2482227110442,4323470.892946875,3.815508172997798,207674.02795386832
A3_50h1T_001,3.0,cone,156.47936,486.45253087003965,3118338.209719603,3.815508172997798,53764.67910306409
A3_50h1T_001,3.0,cylinder,156.47936,486.45253087003965,9355014.62915881,3.815508172997798,161294.03730919224
A3_50h1T_001,3.0,pillar,156.47936,486.45253087003965,7308978.56161804,3.815508172997798,322587.05216786405
A3_50h1T_001,4.0,cone,156.47936,589.4712515409802,3778725.796582521,3.815508172997798,65150.63227163211
A3_50h1T_001,4.0,cylinder,156.47936,589.4712515409802,11336177.389747564,3.815508172997798,195451.89681489635
A3_50h1T_001,4.0,pillar,156.47936,589.4712515409802,8526974.427994885,3.815508172997798,390902.94986674044
A3_50h1T_001,5.0,cone,167.27104000000003,717.617990786687,5256582.18529039,3.815508172997798,84783.74827599047
A3_50h1T_001,5.0,cylinder,167.27104000000003,717.617990786687,15769746.555871172,3.815508172997798,254351.2448279714
A3_50h1T_001,5.0,pillar,167.27104000000003,717.617990786687,11812923.985338591,3.815508172997798,508701.7487658874
A3_50h1T_001,6.0,cone,169.96896,868.8893060042949,6571618.036396119,3.815508172997798,104311.53557484993
A3_50h1T_001,6.0,cylinder,169.96896,868.8893060042949,19714854.10918836,3.815508172997798,312934.6067245498
A3_50h1T_001,6.0,pillar,169.96896,868.8893060042949,14688170.74597725,3.815508172997798,625868.5916763864
A3_50h1T_001,7.0,cone,151.08352000000002,931.7495023423924,5568035.369653138,3.815508172997798,99429.31756288384
A3_50h1T_001,7.0,cylinder,151.08352000000002,931.7495023423924,16704106.108959418,3.815508172997798,298287.9526886515
A3_50h1T_001,7.0,pillar,151.08352000000002,931.7495023423924,11384640.517639637,3.815508172997798,596575.3899772415
A3_50h1T_001,8.0,cone,156.47936,1085.487314030694,6958369.733329904,3.815508172997798,119971.9937770989
A3_50h1T_001,8.0,cylinder,156.47936,1085.487314030694,20875109.199989714,3.815508172997798,359915.9813312967
A3_50h1T_001,8.0,pillar,156.47936,1085.487314030694,13096596.527103338,3.815508172997798,719831.5044585344
A3_50h1T_001,9.0,cone,159.17728000000002,1297.8067600162667,8608764.295160588,3.815508172997798,145911.3458733898
A3_50h1T_001,9.0,cylinder,159.17728000000002,1297.8067600162667,25826292.885481764,3.815508172997798,437734.03762016946
A3_50h1T_001,9.0,pillar,159.17728000000002,1297.8067600162667,15223465.096921988,3.815508172997798,875467.6853901584
A3_50i1T_001,1.0,cone,215.83360000000002,265.99886476946097,3244042.378869916,3.815508172997798,40551.10286244315
A3_50i1T_001,1.0,cylinder,215.83360000000002,265.99886476946097,9732127.136609748,3.815508172997798,121653.30858732946
A3_50i1T_001,1.0,pillar,215.83360000000002,265.99886476946097,4665683.234415111,3.815508172997798,243304.03810965398
A3_50i1T_001,3.0,cone,248.20864000000003,387.1690185697333,6244576.842512436,3.815508172997798,67876.28806844148
A3_50i1T_001,3.0,cylinder,248.20864000000003,387.1690185697333,18733730.52753731,3.815508172997798,203628.86420532447
A3_50i1T_001,3.0,pillar,248.20864000000003,387.1690185697333,9082597.793041756,3.815508172997798,407255.69070551323
A3_50i1T_001,4.0,cone,261.69824000000006,468.1806480371624,8394284.588411152,3.815508172997798,86539.41119678027
A3_50i1T_001,4.0,cylinder,261.69824000000006,468.1806480371624,25182853.76523346,3.815508172997798,259618.2335903408
A3_50i1T_001,4.0,pillar,261.69824000000006,468.1806480371624,11624313.48647468,3.815508172997798,519234.69048536086
A3_50i1T_001,5.0,cone,288.67744000000005,603.4953497610358,13166436.388215043,3.815508172997798,123051.14523885222
A3_50i1T_001,5.0,cylinder,288.67744000000005,603.4953497610358,39499309.164645135,3.815508172997798,369153.4357165567
A3_50i1T_001,5.0,pillar,288.67744000000005,603.4953497610358,19928105.004283898,3.815508172997798,738305.351008031
A3_50i1T_001,6.0,cone,296.7712,763.515166093029,17604747.492375787,3.815508172997798,160043.43356945118
A3_50i1T_001,6.0,cylinder,296.7712,763.515166093029,52814242.477127366,3.815508172997798,480130.30070835346
A3_50i1T_001,6.0,pillar,296.7712,763.515166093029,24082770.91854362,3.815508172997798,960259.3659516332
A3_50i1T_001,7.0,cone,234.71904000000004,813.619976111011,11735102.03371901,3.815508172997798,134886.43404285918
A3_50i1T_001,7.0,cylinder,234.71904000000004,813.619976111011,35205306.10115703,3.815508172997798,404659.3021285776
A3_50i1T_001,7.0,pillar,234.71904000000004,813.619976111011,14295332.179475693,3.815508172997798,809317.6872913074
A3_50i1T_001,8.0,cone,264.39616,924.692617094594,16922959.04570569,3.815508172997798,172683.4575314374
A3_50i1T_001,8.0,cylinder,264.39616,924.692617094594,50768877.13711707,3.815508172997798,518050.3725943122
A3_50i1T_001,8.0,pillar,264.39616,924.692617094594,17201007.024526887,3.815508172997798,1036099.8363552034
A3_50i1T_001,9.0,cone,283.2816,1209.0436644992963,25400797.11697911,3.815508172997798,241912.5189922093
A3_50i1T_001,9.0,cylinder,283.2816,1209.0436644992963,76202391.35093734,3.815508172997798,725737.556976628
A3_50i1T_001,9.0,pillar,283.2816,1209.0436644992963,16125336.069111876,3.815508172997798,1451474.369216054
A3_50k1T_001,1.0,cone,56.65632000000001,105.21354030653819,88417.24644882041,3.815508172997798,4210.725408509892
A3_50k1T_001,1.0,cylinder,56.65632000000001,105.21354030653819,265251.73934646125,3.815508172997798,12632.176225529674
A3_50k1T_001,1.0,pillar,56.65632000000001,105.21354030653819,183528.24533837335,3.815508172997798,25262.640942552178
A3_50k1T_001,2.0,cone,67.44800000000001,137.97257522730004,164323.45195752633,3.815508172997798,6573.283364514874
A3_50k1T_001,2.0,cylinder,67.44800000000001,137.97257522730004,492970.35587257904,3.815508172997798,19719.850093544625
A3_50k1T_001,2.0,pillar,67.44800000000001,137.97257522730004,290648.18981861486,3.815508172997798,39438.14640932977
A3_50k1T_001,3.0,cone,75.54176000000001,191.1581627153549,285585.1837111787,3.815508172997798,10199.749974342276
A3_50k1T_001,3.0,cylinder,75.54176000000001,191.1581627153549,856755.5511335363,3.815508172997798,30599.249923026826
A3_50k1T_001,3.0,pillar,75.54176000000001,191.1581627153549,543146.7598253905,3.815508172997798,61197.2437765354
A3_50k1T_001,4.0,cone,80.9376,253.3237782517094,434455.42852845474,3.815508172997798,14482.073293587018
A3_50k1T_001,4.0,cylinder,80.9376,253.3237782517094,1303366.2855853643,3.815508172997798,43446.219880761055
A3_50k1T_001,4.0,pillar,80.9376,253.3237782517094,807598.4411282712,3.815508172997798,86891.42422162695
A3_50k1T_001,5.0,cone,86.33344000000001,349.8289673450441,682625.4669363026,3.815508172997798,21332.220157194104
A3_50k1T_001,5.0,cylinder,86.33344000000001,349.8289673450441,2047876.4008089078,3.815508172997798,63996.660471582305
A3_50k1T_001,5.0,pillar,86.33344000000001,349.8289673450441,1330939.6807769034,3.815508172997798,127992.53652450994
A3_50k1T_001,6.0,cone,89.03136,470.5762171786696,976527.8101240267,3.815508172997798,29591.885458840094
A3_50k1T_001,6.0,cylinder,89.03136,470.5762171786696,2929583.4303720803,3.815508172997798,88775.6563765203
A3_50k1T_001,6.0,pillar,89.03136,470.5762171786696,2031309.11619048,3.815508172997798,177550.71138733058
A3_50k1T_001,7.0,cone,91.72928000000002,618.0320242232794,1361430.8116198024,3.815508172997798,40042.18753078081
A3_50k1T_001,7.0,cylinder,91.72928000000002,618.0320242232794,4084292.434859408,3.815508172997798,120126.56259234242
A3_50k1T_001,7.0,pillar,91.72928000000002,618.0320242232794,2876773.6179210115,3.815508172997798,240252.65342247597
A3_50k1T_001,8.0,cone,91.72928000000002,801.1764165271737,1764870.1301102412,3.815508172997798,51908.02587443155
A3_50k1T_001,8.0,cylinder,91.72928000000002,801.1764165271737,5294610.390330724,3.815508172997798,155724.07762329467
A3_50k1T_001,8.0,pillar,91.72928000000002,801.1764165271737,3974954.812127225,3.815508172997798,311447.79132630903
A3_50k1T_001,9.0,cone,91.72928000000002,1030.1069069070418,2269169.2782232906,3.815508172997798,66740.33578735254
A3_50k1T_001,9.0,cylinder,91.72928000000002,1030.1069069070418,6807507.834669872,3.815508172997798,200221.00736205766
A3_50k1T_001,9.0,pillar,91.72928000000002,1030.1069069070418,5324783.898711477,3.815508172997798,400441.73168120364
A3_50l1T_001,1.0,cone,91.72928000000002,358.5774684594294,789891.777091681,3.815508172997798,23232.291782396645
A3_50l1T_001,1.0,cylinder,91.72928000000002,358.5774684594294,2369675.3312750435,3.815508172997798,69696.87534718994
A3_50l1T_001,1.0,pillar,91.72928000000002,358.5774684594294,1244737.681064846,3.815508172997798,139392.93758357858
A3_50l1T_001,2.0,cone,97.12512000000001,439.82062486077245,1086193.8878786652,3.815508172997798,30172.208421173986
A3_50l1T_001,2.0,cylinder,97.12512000000001,439.82062486077245,3258581.6636359957,3.815508172997798,90516.62526352196
A3_50l1T_001,2.0,pillar,97.12512000000001,439.82062486077245,1787775.3796557833,3.815508172997798,181032.54861704772
A3_50l1T_001,3.0,cone,97.12512000000001,535.2083291857174,1321766.1542982555,3.815508172997798,36715.85468888084
A3_50l1T_001,3.0,cylinder,97.12512000000001,535.2083291857174,3965298.4628947666,3.815508172997798,110147.56406664253
A3_50l1T_001,3.0,pillar,97.12512000000001,535.2083291857174,2197605.6864851983,3.815508172997798,220294.55132085492
A3_50l1T_001,4.0,cone,97.12512000000001,638.2270498566579,1576184.2020314129,3.815508172997798,43783.00199139364
A3_50l1T_001,4.0,cylinder,97.12512000000001,638.2270498566579,4728552.606094238,3.815508172997798,131349.0059741809
A3_50l1T_001,4.0,pillar,97.12512000000001,638.2270498566579,2407243.1913517425,3.815508172997798,262697.5282411655
A3_50l1T_001,5.0,cone,102.52096000000002,765.256304333975,2105721.208065875,3.815508172997798,55413.810629745705
A3_50l1T_001,5.0,cylinder,102.52096000000002,765.256304333975,6317163.624197625,3.815508172997798,166241.4318892371
A3_50l1T_001,5.0,pillar,102.52096000000002,765.256304333975,3057531.7079042653,3.815508172997798,332482.4379525104
A3_50l1T_001,6.0,cone,102.52096000000002,891.1680740429024,2452186.9376777983,3.815508172997798,64531.31646023107
A3_50l1T_001,6.0,cylinder,102.52096000000002,891.1680740429024,7356560.813033395,3.815508172997798,193593.94938069323
A3_50l1T_001,6.0,pillar,102.52096000000002,891.1680740429024,3499709.576872593,3.815508172997798,387187.5330996171
A3_50l1T_001,7.0,cone,97.12512000000001,973.9917690804645,2405398.5798283713,3.815508172997798,66816.69765275861
A3_50l1T_001,7.0,cylinder,97.12512000000001,973.9917690804645,7216195.739485114,3.815508172997798,200450.09295827578
A3_50l1T_001,7.0,pillar,97.12512000000001,973.9917690804645,3334547.243416191,3.815508172997798,400899.8689577261
A3_50l1T_001,8.0,cone,102.52096000000002,1104.8365317307794,3040128.7818677295,3.815508172997798,80003.45453989414
A3_50l1T_001,8.0,cylinder,102.52096000000002,1104.8365317307794,9120386.345603188,3.815508172997798,240010.3636196824
A3_50l1T_001,8.0,pillar,102.52096000000002,1104.8365317307794,3934405.8451574086,3.815508172997798,480020.4322942078
A3_50l1T_001,9.0,cone,102.52096000000002,1287.9809240346735,3544078.934030527,3.815508172997798,93265.29132951013
A3_50l1T_001,9.0,cylinder,102.52096000000002,1287.9809240346735,10632236.802091582,3.815508172997798,279795.8739885303
A3_50l1T_001,9.0,pillar,102.52096000000002,1287.9809240346735,4300240.850008275,3.815508172997798,559591.4949715834
A3_50m1T_001,1.0,cone,169.96896,250.77698197865158,1896686.409299351,3.815508172997798,30106.612213354623
A3_50m1T_001,1.0,cylinder,169.96896,250.77698197865158,5690059.227898054,3.815508172997798,90319.83664006386
A3_50m1T_001,1.0,pillar,169.96896,250.77698197865158,2409358.9793001404,3.815508172997798,180637.51898855338
A3_50m1T_001,2.0,cone,191.55232,304.8485273011819,2928380.86689064,3.815508172997798,41245.24477075604
A3_50m1T_001,2.0,cylinder,191.55232,304.8485273011819,8785142.60067192,3.815508172997798,123735.73431226813
A3_50m1T_001,2.0,pillar,191.55232,304.8485273011819,3768152.899356471,3.815508172997798,247469.47139836816
A3_50m1T_001,3.0,cone,205.04192000000003,366.78261590362206,4037036.6303892317,3.815508172997798,53119.297894620075
A3_50m1T_001,3.0,cylinder,205.04192000000003,366.78261590362206,12111109.891167697,3.815508172997798,159357.89368386022
A3_50m1T_001,3.0,pillar,205.04192000000003,366.78261590362206,5364285.877830541,3.815508172997798,318714.0104850489
A3_50m1T_001,4.0,cone,213.13568000000004,450.4922687756593,5357575.335770128,3.815508172997798,67817.74349480154
A3_50m1T_001,4.0,cylinder,213.13568000000004,450.4922687756593,16072726.007310385,3.815508172997798,203453.23048440463
A3_50m1T_001,4.0,pillar,213.13568000000004,450.4922687756593,7241055.22480039,3.815508172997798,406904.9571540853
A3_50m1T_001,5.0,cone,226.62528000000003,554.3969472810753,7454287.936767156,3.815508172997798,88741.81179289876
A3_50m1T_001,5.0,cylinder,226.62528000000003,554.3969472810753,22362863.810301468,3.815508172997798,266225.43537869625
A3_50m1T_001,5.0,pillar,226.62528000000003,554.3969472810753,10487393.741790578,3.815508172997798,532449.57144526
A3_50m1T_001,6.0,cone,229.3232,675.1441971147008,9295251.663874507,3.815508172997798,109356.14184730817
A3_50m1T_001,6.0,cylinder,229.3232,675.1441971147008,27885754.991623525,3.815508172997798,328068.4255419245
A3_50m1T_001,6.0,pillar,229.3232,675.1441971147008,12754580.495857118,3.815508172997798,656135.7714469675
A3_50m1T_001,7.0,cone,215.83360000000002,796.3545008161549,9712100.656859651,3.815508172997798,121401.44964806881
A3_50m1T_001,7.0,cylinder,215.83360000000002,796.3545008161549,29136301.970578957,3.815508172997798,364204.3489442065
A3_50m1T_001,7.0,pillar,215.83360000000002,796.3545008161549,12154372.89816565,3.815508172997798,728407.8364206286
A3_50m1T_001,8.0,cone,223.92736000000002,944.9277926291547,12404565.866202226,3.815508172997798,149452.76818496714
A3_50m1T_001,8.0,cylinder,223.92736000000002,944.9277926291547,37213697.59860668,3.815508172997798,448358.3045549014
A3_50m1T_001,8.0,pillar,223.92736000000002,944.9277926291547,15087945.606990052,3.815508172997798,896715.8558668336
A3_50m1T_001,9.0,cone,215.83360000000002,1158.8277772509457,14132716.026708752,3.815508172997798,176659.08189097288
A3_50m1T_001,9.0,cylinder,215.83360000000002,1158.8277772509457,42398148.080126256,3.815508172997798,529977.2456729186
A3_50m1T_001,9.0,pillar,215.83360000000002,1158.8277772509457,15350914.055504365,3.815508172997798,1059953.8993388817
A3_50n1T_001,1.0,cone,164.57312000000002,192.42687461529488,1364432.8221495147,3.815508172997798,22368.355272786102
A3_50n1T_001,1.0,cylinder,164.57312000000002,192.42687461529488,4093298.4664485445,3.815508172997798,67105.0658183583
A3_50n1T_001,1.0,pillar,164.57312000000002,192.42687461529488,2459243.5879391776,3.815508172997798,134207.41324086135
A3_50n1T_001,2.0,cone,210.43776000000003,238.17282279008666,2761265.5280992673,3.815508172997798,35401.46418629857
A3_50n1T_001,2.0,cylinder,210.43776000000003,238.17282279008666,8283796.584297803,3.815508172997798,106204.3925588957
A3_50n1T_001,2.0,pillar,210.43776000000003,238.17282279008666,5366030.857581797,3.815508172997798,212405.9767529019
A3_50n1T_001,3.0,cone,202.34400000000002,261.2973987619877,2800814.6860504965,3.815508172997798,37344.74278765516
A3_50n1T_001,3.0,cylinder,202.34400000000002,261.2973987619877,8402444.05815149,3.815508172997798,112034.22836296547
A3_50n1T_001,3.0,pillar,202.34400000000002,261.2973987619877,5320857.69427115,3.815508172997798,224065.99534901895
A3_50n1T_001,4.0,cone,267.09408,328.12433040463367,6128237.465241716,3.815508172997798,61901.96349848175
A3_50n1T_001,4.0,cylinder,267.09408,328.12433040463367,18384712.39572515,3.815508172997798,185705.89049544526
A3_50n1T_001,4.0,pillar,267.09408,328.12433040463367,12207725.654060313,3.815508172997798,371409.1936708046
A3_50n1T_001,5.0,cone,348.03168000000005,451.7208307744175,14324395.40770591,3.815508172997798,111042.36907019495
A3_50n1T_001,5.0,cylinder,348.03168000000005,451.7208307744175,42973186.22311774,3.815508172997798,333127.1072105849
A3_50n1T_001,5.0,pillar,348.03168000000005,451.7208307744175,31425209.466892004,3.815508172997798,666251.7655035106
A3_50n1T_001,6.0,cone,315.65664000000004,437.3849058180835,11409386.091142835,3.815508172997798,97516.63019546137
A3_50n1T_001,6.0,cylinder,315.65664000000004,437.3849058180835,34228158.273428515,3.815508172997798,292549.89058638416
A3_50n1T_001,6.0,pillar,315.65664000000004,437.3849058180835,23714449.31754721,3.815508172997798,585097.4872617233
A3_50n1T_001,7.0,cone,259.00032000000004,385.5884799335147,6771630.901286571,3.815508172997798,70538.29633695826
A3_50n1T_001,7.0,cylinder,259.00032000000004,385.5884799335147,20314892.703859717,3.815508172997798,211614.8890108748
A3_50n1T_001,7.0,pillar,259.00032000000004,385.5884799335147,11528492.285883827,3.815508172997798,423227.64300504053
A3_50n1T_001,8.0,cone,291.37536000000006,491.4966010417958,10924329.520025592,3.815508172997798,101151.61800074617
A3_50n1T_001,8.0,cylinder,291.37536000000006,491.4966010417958,32772988.56007678,3.815508172997798,303454.8540022385
A3_50n1T_001,8.0,pillar,291.37536000000006,491.4966010417958,19916326.390962914,3.815508172997798,606907.8236698273
A3_50n1T_001,9.0,cone,178.06272,700.7754194584775,5816925.384418281,3.815508172997798,88135.41257393222
A3_50n1T_001,9.0,cylinder,178.06272,700.7754194584775,17450776.153254844,3.815508172997798,264406.2377217966
A3_50n1T_001,9.0,pillar,178.06272,700.7754194584775,7261100.6796929445,3.815508172997798,528811.6677987139
B1_52a1T,1.0,cone,43.166720000000005,28.017335360658585,13667.640774596572,3.815458570457708,855.3150975769055
B1_52a1T,1.0,cylinder,43.166720000000005,28.017335360658585,41002.92232378972,3.815458570457708,2565.945292730716
B1_52a1T,1.0,pillar,43.166720000000005,28.017335360658585,13414.357445585141,3.815458570457708,5126.997392810089
B1_52a1T,2.0,cone,45.86464000000001,49.561110154948814,27293.902167864737,3.815458570457708,1606.1771660230777
B1_52a1T,2.0,cylinder,45.86464000000001,49.561110154948814,81881.70650359422,3.815458570457708,4818.531498069233
B1_52a1T,2.0,pillar,45.86464000000001,49.561110154948814,36513.22660798297,3.815458570457708,9634.122354845578
B1_52a1T,3.0,cone,45.86464000000001,61.007485866321936,33597.55956912344,3.815458570457708,1976.8579663033615
B1_52a1T,3.0,cylinder,45.86464000000001,61.007485866321936,100792.67870737035,3.815458570457708,5930.5738989100855
B1_52a1T,3.0,pillar,45.86464000000001,61.007485866321936,44910.83248855253,3.815458570457708,11858.758680331104
B1_52a1T,4.0,cone,45.86464000000001,95.34661300044152,52508.53177289968,3.815458570457708,3089.076907179442
B1_52a1T,4.0,cylinder,45.86464000000001,95.34661300044152,157525.59531869908,3.815458570457708,9267.230721538326
B1_52a1T,4.0,pillar,45.86464000000001,95.34661300044152,96343.4420116253,3.815458570457708,18532.93261579206
B1_52a1T,5.0,cone,59.354240000000004,126.75631556274,116907.32693443561,3.815458570457708,5314.300134651463
B1_52a1T,5.0,cylinder,59.354240000000004,126.75631556274,350721.98080330685,3.815458570457708,15942.900403954387
B1_52a1T,5.0,pillar,59.354240000000004,126.75631556274,246278.87791561274,3.815458570457708,31884.312541053565
B1_52a1T,6.0,cone,48.562560000000005,189.38410063342843,116927.12946018955,3.815458570457708,6496.132751939978
B1_52a1T,6.0,cylinder,48.562560000000005,189.38410063342843,350781.3883805687,3.815458570457708,19488.39825581994
B1_52a1T,6.0,pillar,48.562560000000005,189.38410063342843,280719.968007611,3.815458570457708,38975.981495797816
B1_52a1T,7.0,cone,45.86464000000001,247.96495581874984,136557.2971230158,3.815458570457708,8032.912827023539
B1_52a1T,7.0,cylinder,45.86464000000001,247.96495581874984,409671.8913690474,3.815458570457708,24098.738481070617
B1_52a1T,7.0,pillar,45.86464000000001,247.96495581874984,325194.56122964044,3.815458570457708,48196.88906841113
B1_52a1T,8.0,cone,48.562560000000005,338.18698488127916,208799.11898995322,3.815458570457708,11600.0524801879
B1_52a1T,8.0,cylinder,48.562560000000005,338.18698488127916,626397.3569698597,3.815458570457708,34800.1574405637
B1_52a1T,8.0,pillar,48.562560000000005,338.18698488127916,535723.6312536856,3.815458570457708,69599.858468269
B1_52a1T,9.0,cone,48.562560000000005,471.72803484729894,291248.340362818,3.815458570457708,16180.536066472194
B1_52a1T,9.0,cylinder,48.562560000000005,471.72803484729894,873745.0210884539,3.815458570457708,48541.60819941658
B1_52a1T,9.0,pillar,48.562560000000005,471.72803484729894,763876.7676452638,3.815458570457708,97082.88919059659
B1_52a2T,2.0,cone,45.86464000000001,15.221983020829438,8382.929964088613,3.815458570457708,495.2371416677992
B1_52a2T,2.0,cylinder,45.86464000000001,15.221983020829438,25148.78989226584,3.815458570457708,1485.7114250033974
B1_52a2T,2.0,pillar,45.86464000000001,15.221983020829438,5692.922428126377,3.815458570457708,2961.8717241191393
B1_52a2T,3.0,cone,51.26048000000001,31.601322616206797,21738.98302405795,3.815458570457708,1145.302153369236
B1_52a2T,3.0,cylinder,51.26048000000001,31.601322616206797,65216.949072173855,3.815458570457708,3435.906460107708
B1_52a2T,3.0,pillar,51.26048000000001,31.601322616206797,30733.056326551974,3.815458570457708,6866.660380298771
B1_52a2T,4.0,cone,59.354240000000004,35.18530987175501,32451.404935564624,3.815458570457708,1476.254878143066
B1_52a2T,4.0,cylinder,59.354240000000004,35.18530987175501,97354.21480669388,3.815458570457708,4428.764634429198
B1_52a2T,4.0,pillar,59.354240000000004,35.18530987175501,56820.164464632995,3.815458570457708,8852.170231227647
